player,mean_salary,full_contract,first_year_salary,free_agency_year,position,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp
Andray Blatche,1146337.0,1146337.0,1146337.0,2012,PF,25.0,WAS,26.0,13.0,24.1,3.6,9.4,0.38,0.1,0.3,0.286,3.5,9.2,0.382,0.384,1.3,1.9,0.673,1.6,4.2,5.8,1.1,0.8,0.7,1.4,2.1,8.5,626.0,10.6,0.415,0.029,0.2,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,-0.8,0.6,-0.1,-0.011,-3.4,-1.4,-4.8,-0.4
Keith Bogans,1229255.0,1229255.0,1229255.0,2012,SF,31.0,NJN,5.0,1.0,18.8,1.6,4.2,0.381,0.6,2.4,0.25,1.0,1.8,0.556,0.452,0.4,1.0,0.4,1.0,1.2,2.2,0.6,0.4,0.0,0.6,3.0,4.2,94.0,4.8,0.453,0.571,0.238,6.0,7.6,6.8,5.1,1.1,0.0,11.5,12.8,0.0,0.0,0.0,-0.005,-5.2,-2.7,-7.9,-0.1
Elton Brand,2100500.0,2100500.0,2100500.0,2012,C,32.0,PHI,60.0,60.0,28.9,4.8,9.7,0.494,0.0,0.0,0.0,4.8,9.7,0.495,0.494,1.4,1.9,0.733,2.4,4.7,7.2,1.6,1.0,1.6,1.1,2.9,11.0,1732.0,18.0,0.521,0.002,0.2,9.2,18.3,13.7,9.2,1.8,4.2,9.3,18.9,2.5,3.6,6.1,0.168,-0.2,1.8,1.6,1.6
Ronnie Brewer,1069509.0,1069509.0,1069509.0,2012,SG,26.0,CHI,66.0,43.0,24.8,2.9,6.7,0.427,0.3,1.0,0.275,2.6,5.7,0.455,0.448,0.8,1.5,0.56,1.1,2.4,3.5,2.1,1.1,0.3,0.9,1.0,6.9,1635.0,12.3,0.465,0.155,0.225,5.0,10.6,7.9,12.7,2.4,0.9,10.8,15.3,1.0,2.9,3.9,0.113,-1.5,2.2,0.7,1.1
Kwame Brown,2882472.5,5764945.0,2819044.0,2012,C,29.0,GSW,9.0,3.0,20.8,2.3,4.4,0.525,0.0,0.0,0.0,2.3,4.4,0.525,0.525,1.7,3.8,0.441,1.8,4.6,6.3,0.4,0.9,0.0,1.6,2.3,6.3,187.0,11.1,0.519,0.0,0.85,9.7,24.8,17.3,3.2,2.2,0.0,20.3,17.0,-0.1,0.2,0.1,0.031,-3.0,-0.7,-3.7,-0.1
Shannon Brown,3500000.0,7000000.0,3500000.0,2012,SG,26.0,PHO,59.0,19.0,23.7,4.3,10.1,0.42,1.2,3.2,0.362,3.1,6.9,0.446,0.477,1.4,1.7,0.808,0.6,2.0,2.7,1.2,0.7,0.3,1.1,1.1,11.0,1400.0,13.6,0.507,0.314,0.166,3.1,9.5,6.3,8.1,1.6,0.8,9.1,22.8,0.8,0.8,1.6,0.054,-0.2,-0.9,-1.0,0.3
Chase Budinger,885120.0,885120.0,885120.0,2012,SF,23.0,HOU,58.0,9.0,22.4,3.6,8.1,0.442,1.5,3.8,0.402,2.1,4.3,0.476,0.535,0.9,1.2,0.771,0.7,3.1,3.7,1.3,0.5,0.1,0.9,1.1,9.6,1298.0,14.9,0.556,0.465,0.149,3.4,16.2,9.7,9.3,1.2,0.4,9.9,19.5,2.0,1.0,3.0,0.111,1.8,-0.6,1.2,1.0
Andrew Bynum,16889000.0,16889000.0,16889000.0,2012,C,24.0,LAL,60.0,60.0,35.2,7.4,13.3,0.558,0.0,0.1,0.2,7.4,13.2,0.56,0.558,3.9,5.6,0.692,3.2,8.6,11.8,1.4,0.5,1.9,2.5,1.7,18.7,2112.0,22.9,0.594,0.006,0.425,10.6,26.1,18.7,7.4,0.7,4.0,13.9,23.8,4.8,3.3,8.0,0.183,2.7,0.2,2.9,2.6
Marcus Camby,4383773.0,13151319.0,4590338.0,2012,C,37.0,TOT,59.0,53.0,22.9,2.2,4.9,0.446,0.0,0.1,0.4,2.1,4.8,0.447,0.449,0.5,1.1,0.453,2.7,6.3,9.0,1.8,0.8,1.4,1.0,2.1,4.9,1352.0,16.2,0.455,0.017,0.223,13.3,32.7,22.8,11.9,1.9,4.8,15.3,12.6,1.1,2.5,3.6,0.127,-0.1,2.3,2.2,1.4
Matt Carroll,3500000.0,3500000.0,3500000.0,2012,SG,31.0,CHA,53.0,2.0,11.2,1.0,3.0,0.331,0.2,0.8,0.186,0.8,2.2,0.386,0.357,0.6,0.7,0.789,0.2,0.9,1.1,0.7,0.3,0.1,0.5,1.0,2.7,596.0,5.6,0.409,0.274,0.242,1.5,10.0,5.6,10.6,1.4,0.9,12.1,15.3,-0.7,0.1,-0.6,-0.051,-5.9,-1.5,-7.4,-0.8
